clean_text,label
حقوق المراه,1
RT حقوق المراه في الاسلام,1
"RT Retweted لجنه التنميه بشبرا 
 
 ما زال التسجيل مستمر في دوره حقوق المراه بعد الطلاق وعيك_يحميك",1
RT حقوق المراه التي تضمنها لها وزاره العدل,1
"RT ولي امر الزوجه او ولي الزوجه او ولي المراه من الاخطاء الشائعه 
 
 هذا الكلام غلط في الشريعه والقانون
 فلا يوجد ولي لزوجه او المراه الا اذا كانت قاصرا ويكون الولي ابوها الخ وليس الزوج منهم
 نعم له حقوق عليها لكنها ليست ولايه
 الولايه مصطلح فقهي قانوني محد",1
"RT انا كامراه يوجعني كل حزن نساء العالم سواء تعنفت ضربت قتلت في جريمه شرف اغتصبت حرمت من دراسه او عمل او جبرت علي زواج او حياه لم تخترتها 
 
 الدفاع عن حقوق المراه الي تعتبر في اغلب دول العالم مواطن بالدرجه الثانيه مو ترند لكنه انسانيه 
 
 والساكت عن الحق شيطان اخرس",1
"اومن حقوق المراه 
 انك تفتحلها الباب",1
غسق و سبيس و حلوه الحلوات هم اشخاص لهم هويتهم و كيانهم المتفرد و كونك لا تعرف هذه الهويه فهذا لا يعطيك لا انت و لاغيرك الحق بان تهدم فكره كبيره كفكره حقوق المراه و تنكر وجودها و اثا,1
مبدائيا انا مع حقوق المراه وضد حقوق الرجل,1
"RT السؤال بقي لناس الي شغاله في حقوق_الانسان حقوق_المراه 
 يا تري في قانون او عقوبه علي الزوج الي بيمارس العنف ضد زوجته في الشارع",1
"نعم المراه في الاسلام منتقصه الحقوق
 والواجبات
 وهذا منطقي وطبيعي
 لذلك اسوا سيناريو هو الزواج من مسلمه في بلد اوروبيلها حقوق المواطنات دون واجباتهن",1
RT محاولات بائسه لاقصاء دور الام السعوديه ودورها في التربيه وغرس الانتماء بفلذات اكبادها لذالك كل شي حق لذكور فقط رؤيه ستنصف الام السعوديه وستدمر الافكار الذكوريه الجاهليه تجنيس ابناء السعوديات من اولويات حقوق المراه السعوديه,1
اذا كانت مساله حقوق المراه امرا سخيفا جدا فالوم يقع علي غطرسه الرجال التي جعلت منها موضوعا يناقش,1
كل هذه الحقوق او المزعوم انها حقوق عباره عن صفر مكعب مالم تسقط الولايه عن المراه,1
"متي تعرف ان المراه ما عندها حقوق
 يوم يطبعون لها ورقه مثل هذي",1
ناصر حقوق المراه,1
RT المسيار زي زواج المتعه عند الشيعه نعايب عليهم وابتلينا المسيار يهضم حقوق المراه,1
"RT ارتبطت حقوق المراه دائما في اذهانهم برغبتها في مارسه الرذيله
 لانهم لم ينظروا اليها يوما كانسان
 لها كيان
 لها حياه
 مغرد_يقذف_السعوديات",1
RT لمتي واحنا بلا حقوق لانقدر نجد جوازات سفرنا ولا نقدر نسافر الا بتصريح وفوق هذا كله حاطين علي ظهر المراه التغيب الكيدي والعقوق وطبعا كل الي ذكرته لا يطبق علي الرجل اكثر من هالتميز العنصري ماشفت مادري كيف اخذنا كرسي في لجنه حقوق الانسان ومساواه بين الجنسين لانكذب علي بعض,1
RT عشان كذا انا عندي تحفظ لي يشوف الغاء الولايه عندنا هو الحل النهائي نعم حو حق من حقوق المراه وبيحل جزء من المشكله لكن حتي لو الغيت الولايه سطوه المجتمع والعائله ستظل موجوده بل حتي جرائم الشرف منتشره في دول ماعندها ولايه اكثر بكثير من الي عندنا نظره تشاؤميه,1
الحريه لاكاديمي مساعد_بن_حمد_الكثيري الذي كان احد المدافعين عن الحقوق والحريات في المجتمع السعودي وخاصه حقوق المراه وكان ذلك سبا في كتم صوته بالاعتقال التعسفي,1
اتوقع الي حاط الاستفتاء وده يخنق المراه ويسجنها الحمداله ديرتنا ديره حقوق لمراه,1
غبيه ما اتحمل ناس جهلا ماتقرا عن الاسلام واجب تفلسف عشان كذا دايما اقول انا مع حقوق المراه دايما لكن مستحيل اقول عن نفسي نسويه لان النسويات شوهوا هالاسم بافكارهم,1
RT كل رجل يرفع شعار الحريه عليه ان يدعو لرفع الظلم عن المراه اولا والعمل معها وعلي كل امراه ان تدرك بان حقوقها جزء لا يتجزا من حقوق المجتمع الذي يجب ان تدافع عن كل مظلوم فيه بغض النظر عن جنسه هكذا تبني المجتمعات الحره لا بالعداء او الرغبه بالانتقام,1
"RT وقفوا ضد القهوه الكرسي الملعقه الشوكه الميكروفون الاسلكي الراديو السيكل السياره التلفزيون شوارع الاسفلت الدش الانترنت السينما قياده المراه
 
 و يقولون لم نقف ضد اي شيء من ذلك
 
 لكنهم ما زالوا يقفون ضد المساواه بين الرجل و المراه نظريه التطور حقوق المثلين",1
