clean_text,label
واشنطن تكشف امام مجلس_الامن اسماء ضباط سورين متهمين بارتكاب انتهاكات,2
اليمن مجزره_القاعه_الكبري احمدوا اله كثيرا واشكروه فانتقاذه لزعيم وحفظه وحمايته وتوفيقه له طول هذه السنوات,2
المراه السعوديه ماجوره علي انواع المعاناه والظلم اسقاط_الولايه,1
"سعوديات_نطلب_اسقاط_الولايه
 الحياه من حق المراه السعوديه اسقطو الولايه لتستطيع العيش بكرامه",1
RT عبد الرحمن الراشد في مقالته يكتب عن حضوره حفل استعراضي فني في الرياض,1
مصر لشعبها وليست لسويرس والعسكر مصر لن تنام الا عندما تعود الشرعيه لن تحكموها ابدا بالرصاص والحديد والنار,2
كيوسك الصحافه كاسترو بطل لعديد من الافارقه,2
RT لاعبين ريال مدريد المصابين راموس مارسيلو كاسيميرو مودريتش خيميس كوينتراو الجمهورالمتابع,1
"المراه قادره علي ان تدير نصف مجتمع كيف لها ان لا تستطيع قياده او عمل 
 بنظري المراه خلقت لتكون كل المجتمع فنصف المجتمع تربيتها والنصف الاخر هي مع_او_ضد_عمل_وقياده_المراه",1
"عطاله_التخصات_الصحيه
 
 
 
 الي متي العطاله والتكدس وين التوطين وين رؤيه من اسبوع توظيف لاجانب بعيني شفتهم وين نصيب وحق ابناء وبنات الوطن من هذه الوظايف",0
تعد الزوجات تشريع يجعل الانسان يبدو بهيميا بلا عقل او عاطفه لانه هدم منظومه الاخلاص و العفه لدي الرجل و اباح له الزنا تحت سقف شرعي و لا اعلم كيف الظلم تحت سقف مقدس,0
ودا قمه السفه في الصحافه الفن بعد ثوره يوليو وبعد ثوره يناير مصر الثوره,0
RT معم اخر موديل شغل غوتشي,2
اقصد منجد تستاهل هالتحفه الفنيه hyltbestdance,2
"مع مع بنسبه 
 
 مع عمل المراه مع قياده المراه 
 
 مع_او_ضد_عمل_وقياده_المراه",1
عز اله عشان يجيني واحد من الطلاب ويقول انا احبك وعاشقك ياستاذه ماذا_لو_المدارس_مختلطه,0
الدفاع الروسيه ارسال طنا من الهدايا لاطفال السورين بمناسبه اعياد الميلاد وراس السنه تمهيدا لبدء توزيعها روسيا سوريا الواء,2
خلص رجعت روقت,2
حرام واله كل سنين الدراسه هذي وفي الاخير عاطل ويجيك الاجنبي ياخذ مكانك عطاله_التخصات_الصحيه,0
لولا هاري بوتر عليا بس,2
بشار قتل الشعب السوري ليخدم الصليبين هنا يشكره البابا وبطريرك موسكو,0
بريطانيا تعترف ومصره علي بيع الاسلحه والصواريخ لسعوديه ماذا نرتجي اذا,1
محاكمه المدنين عسكريا مش مساله حريات ده شيء يخص العداله والحقوق العداله بيتقال عليها حريات,0
RT طول عمره يرفض الشوري_يرفض_قياده_المراه,0
